id,target
4941,6945442.788485337
51775,1123755.4715021655
115253,2323821.83337835
299321,1291459.8048973812
173570,672549.5716134502
30862,1352646.8853940025
244471,2452198.5601614467
127794,695256.4548139496
71558,3047160.93680333
218011,1208700.3764012621
148208,3712540.410147355
155735,566093.3216083848
100698,4124427.971270156
241403,1753523.9443580154
195272,2831915.9885906256
238663,1370170.493552909
262957,5609887.83019434
207082,1209574.005190482
298896,494333.0439247865
220946,658011.7062978102
74581,1669639.0768546555
253578,5850448.406166142
47620,2245466.562442487
92772,2375905.3808021685
116904,3368836.775451807
208352,5488234.51600593
76044,1400146.4459082542
202667,741151.8214574709
62134,5901453.060519151
277353,5332619.379657469
64194,4181493.958677266
295822,4401651.371261099
27391,2160820.927119845
203500,1556118.7158756456
264505,1172553.178245337
297455,1542399.8506103128
137985,2017365.087864933
47622,5098956.116616402
21911,1354033.2867594704
94181,4219824.642611649
68117,1356820.4074607168
39648,744391.1757946224
73722,3038808.0358669646
133456,1064973.0429600985
30763,8964207.318460084
58096,1173242.0284575922
126979,1627798.7807384878
149636,1948427.419504713
27810,2147335.2138494942
272001,5559648.531484951
114617,5212028.508962631
190693,6141019.100452359
219814,1948243.31549214
67164,3764414.784432005
83961,4447669.73100139
254122,2631887.5139903063
141378,4663655.208857019
151754,797930.9024200265
125013,663626.7129850456
273552,1125490.9321153252
201853,1188245.6022521819
99511,3252842.8442719234
25140,6597380.535141655
7603,939158.989220587
84095,4376791.279021711
84071,3129200.9928044584
151177,2435155.9583653198
294081,907081.9148867542
88694,1728861.2871654485
99932,1153989.185918842
14442,910784.5188714969
162220,1593544.7236842257
163631,5722445.948045049
49023,926574.112682891
80644,6454117.3853308
274016,1726337.160495339
64876,1344574.8186887847
156696,6999092.555326227
295991,1887996.5438330548
192037,3155748.4281521924
118765,1239296.8732661046
94748,3200872.6300073136
251764,4033606.4782167836
60381,706360.4810609985
283938,627125.3473386265
195995,479235.83771740325
112778,1873936.4144546944
76727,2091916.7941294156
21435,1769502.5976635453
17468,3078080.2571142684
225673,3972060.434800746
79759,3184540.6518992637
257599,1287269.9155103453
270720,3716450.6431297427
153801,3927769.8531748094
92266,4116004.8132252023
207329,5590065.903536329
243955,4218288.029394764
288928,5403572.615138086
186600,2420004.2269338598
48005,953046.2669635017
212520,1600190.4824748165
294075,706868.4813610179
131575,2296036.482362498
202057,6536297.904208001
239160,2564390.234545802
92611,1206329.2660764
268351,2223242.046196913
259109,1437835.4296780494
265328,1222238.8366562729
229144,1263311.2227524607
261302,2121655.9189384975
84117,2474517.7409603107
31189,4829817.578440018
107254,1339531.4761942616
192798,2087340.3910893968
28083,1894032.4012421921
118789,3150505.1136368862
2152,6127070.823259505
287026,982351.1630367119
249169,1961742.1331626966
137539,4180066.0341886617
46291,361869.735222287
30233,3131791.304114361
175145,1403788.139674491
50676,583652.8011731361
71570,3284495.624065626
219843,2328779.586778365
36279,3140472.972463433
66052,775991.9105499326
252609,2575935.849585113
24783,8859017.018464698
299327,5056707.266258847
95349,5967788.047076896
46332,842177.7238152019
91240,1975913.28484487
5445,1368687.4459576271
272876,1581624.0918928133
43811,1724203.12861842
217082,4932242.538987398
100370,5825902.595980171
258874,871594.303347828
121949,789482.5566320604
212950,554560.763946665
200057,2964942.4941395214
229177,1751688.2864245898
287838,604880.6654307306
213118,2026436.932208596
176475,843242.8534503304
118176,7537374.285666267
209024,1556591.0404910503
221906,2407890.1070567314
42493,2392702.9605903495
223728,1488467.7821749342
141993,4648891.7327799685
55675,2462224.5987880817
224087,3635197.054285074
83655,2402846.7203243384
61917,2969186.625534648
153665,2434995.2153972425
155758,8354517.405882917
190393,7168454.852846715
231050,909922.6143364927
201122,3827628.2793944813
59267,385507.3378961789
262487,10498375.874300508
188582,2745911.1542542293
131814,1031787.2874433624
73949,5423888.730010907
154308,9749220.409774195
167194,677523.1600565432
277393,2123698.5476754843
196835,1158439.3235411178
91690,2234468.8298561247
162086,2175429.087075469
231058,3240659.2583508
54120,6837873.859543602
247858,4438645.343374252
98092,1005146.8046122729
271915,3168092.434692181
44677,1533850.3592776163
56078,1132276.431297846
129375,6900713.367820519
133361,5609579.19270926
85866,1812340.5086196135
191559,499420.032078493
218728,1516369.495672735
208771,3178879.54672244
109195,1118752.5483855442
39549,516226.2526040561
169828,4105586.170115246
57416,2824237.6608924977
33193,5409924.188349606
173865,4087724.8572785966
50919,3635551.6525253463
108504,1769345.9890992518
72963,2146463.6403153455
270712,1226600.6115303382
63504,1443532.998908169
26896,2044718.2327432637
261152,1471932.0500791634
8838,640201.5381601605
16064,9496514.167939996
107661,2583594.5328406924
130161,2275863.7407030645
179573,3614487.7513656737
116121,480371.98023567704
32234,356753.34761222557
191736,1004630.5484535189
57456,2031056.8345807386
160502,1416594.1611197887
215795,1832623.1619388177
126714,4161981.221971448
173047,469848.75072536065
97726,2586558.3005486694
193811,1346061.8362613034
17156,1099886.7081715553
71055,753997.0086854857
193990,974214.0351422569
52059,2122125.213324015
274757,3555074.7758618942
1558,5462193.381740496
253081,523818.428269554
181909,2320041.686575644
145269,2812749.169769482
186660,5080296.413294185
6479,1228149.0478353663
249414,683416.0236212519
43182,260431.69982875977
248529,3816210.666320872
125724,3146471.17201758
214268,1466646.1683293309
270767,1888300.196501444
141103,2762268.6214499287
292203,7614462.236317527
62008,2987255.88327004
89122,1217761.612942805
47736,5750624.004536972
222505,4767822.2832780965
29628,631675.7367809566
202216,2145319.070569611
194828,960891.7523050648
18649,1190691.278940838
199020,2102651.748688931
111554,287952.6210601666
244687,4885199.295074088
230919,4961858.449624379
42397,7054455.128840833
221946,2658272.8591834093
168390,985986.3079851099
175576,1387788.337182036
153541,1295743.2975479704
74055,2405558.556353313
233828,6108608.522853242
131312,603621.7522712501
224154,5004729.681020083
266743,625455.0786463545
15594,1375745.4338244698
227419,4285965.352660273
115531,4012949.132473472
12282,403338.84477900376
21847,1512068.1470203046
86772,493291.1223410257
193139,1867126.4227915874
100472,3706529.0457157893
177774,3523127.5427994044
224462,3443232.543484899
255020,1929970.9762612497
140852,2921342.826939312
6484,1779048.6182945524
97191,2414080.0486059077
218796,7197225.530179288
146934,534974.4760542007
183990,2187888.0291504506
150347,3043175.0506783947
291295,8776411.584526831
175531,1939847.1373711561
80284,2793735.0835016235
64297,1921959.3241309756
221587,2694811.932853892
145984,4044402.9133351394
266813,588908.6364844115
53725,1317319.4544962877
171137,586678.8078130912
212764,754353.9929110608
30683,1243233.8583562993
204086,2476877.659403555
78594,8623270.467312206
162787,1326226.0625221413
212279,805562.016018792
33141,616756.434666228
13870,3183008.7438856172
205831,3477220.5123076183
285806,5486282.613963559
13820,283750.96361497394
198918,772412.8241692096
165989,5582870.012220597
81377,1574609.7635854273
149867,629950.9669095824
192119,826032.8432832477
180210,1041305.8321452435
147051,3194351.996609994
127638,2655398.823856349
291867,2127677.6442496115
178582,6679371.970972672
127544,4174929.9256025967
235717,4623205.829477251
171723,687774.4113155695
161574,482565.311051646
75409,2361864.8031028076
90035,1299642.990203796
42840,718634.433826143
8581,7337162.377849521
13664,4212466.940531798
247464,1008733.3758858121
96424,1717210.110366322
194898,3484357.5437497147
283532,2114516.0723373764
69531,5651980.898018718
237884,1832161.522700803
261893,1661685.0869836805
150376,600784.1349595741
182443,2722746.9125616085
224406,5421787.423990494
171332,2866556.496968432
140442,1537659.8659389864
154939,1474963.3392397787
131259,6476944.745958829
162293,836243.1119146758
292709,3002694.1614085124
264845,2896915.6215175795
166131,7090691.656422343
132328,3235842.904415179
208063,2419087.323994353
48322,7462299.9204106545
16624,478105.2278442109
4734,1327567.444098274
189590,5831955.424707166
101739,1451796.9325851414
111000,3563275.431634017
198444,427603.51785979804
16638,3426195.3292401154
55638,8658117.12013549
258788,1528158.5984118818
238820,3066503.44623696
115603,1225095.4705327572
246939,2999890.2124839965
191530,860585.177229428
11213,2180389.7887502867
